# L2 template spectrum
# 7 total spectra
# resolution  = 40 km/s per pixel
# 5350 to 9200 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000     0.074194824     0.058487609     0.014832277     0.072469158
       5350.7138     0.025680037     0.033631582     0.014145187     0.036037251
       5351.4277     0.011935534     0.013862790     0.014202498     0.039515952
       5352.1418     0.015924240    0.0081470986     0.014800941     0.073471033
       5352.8559    -0.010643772   -0.0031580351     0.014824154     0.031949583
       5353.5701    -0.019727320    -0.017745979     0.014637894     0.045732470
       5354.2844    0.0093344142    0.0034155423     0.014798220     0.027450586
       5354.9988     0.045578717     0.028672654     0.015124009     0.075403882
       5355.7133     0.068019219     0.052422980     0.014974685      0.11351032
       5356.4279     0.059804787     0.043823361     0.014313105     0.070489686
       5357.1426     0.042162799     0.045128108     0.013821179     0.027994505
       5357.8573     0.026027079     0.040900007     0.013544505     0.059394733
       5358.5722    -0.021991982     0.024075990     0.013137351      0.13586871
       5359.2872    -0.080132409    0.0077596549     0.012697147      0.23687233
       5360.0023    -0.054835986     0.019242979     0.012619998      0.15683021
       5360.7174   0.00050099216    0.0069682237     0.012878219     0.047430302
       5361.4327   -0.0045879330     0.014333520     0.013150372     0.056084630
       5362.1480    -0.025619741     0.013421452     0.013255593     0.091781493
       5362.8635    -0.041634174  -0.00055002209     0.013073116      0.13091160
       5363.5790    -0.018002038    0.0044805615     0.012950296     0.087523936
       5364.2947     0.028765290     0.011294365     0.013096088     0.029083668
       5365.0104     0.042545280     0.030922589     0.013428856     0.041173303
       5365.7262     0.046158800     0.030742269     0.013743024     0.040042347
       5366.4421     0.047795423     0.045024649     0.013812817     0.045804782
       5367.1582     0.020699492     0.019235094     0.013618845     0.035015230
       5367.8743    -0.016547670    -0.014871299     0.013275752     0.050065536
       5368.5905    -0.010432194    -0.014650800     0.013424302     0.048922463
       5369.3068     0.018576167     0.012637738     0.013746960     0.042233175
       5370.0232     0.034684579     0.027046861     0.013478610     0.038032480
       5370.7397     0.028772049     0.025622803     0.013170974     0.032300455
       5371.4563    0.0055189841     0.012980783     0.013108936     0.054791547
       5372.1730     0.013629506     0.033072001     0.013273742     0.065442842
       5372.8898     0.026383673     0.016500027     0.013564599     0.024363086
       5373.6067     0.023070945    0.0022181154     0.013867749     0.054483445
       5374.3236     0.029806747     0.014167436     0.014232709     0.044385774
       5375.0407     0.012187349    0.0099772194     0.014499591     0.032096771
       5375.7579   -0.0038691391   -0.0057144634     0.014378561     0.054691327
       5376.4751     0.016927399     0.011231895     0.013951632     0.037851359
       5377.1925     0.053469959     0.044414633     0.013939329     0.043885162
       5377.9100     0.074231855     0.057268002     0.014206242     0.074262421
       5378.6275     0.048884317     0.029273245     0.014252322     0.085601924
       5379.3451     0.019660604     0.013718578     0.014035335     0.072902900
       5380.0629     0.024686153     0.015997651     0.013522887     0.029640982
       5380.7807     0.022491093     0.041293079     0.013189243     0.054353553
       5381.4987    -0.017456424     0.022988552     0.012998772      0.11714008
       5382.2167    -0.022020181    -0.014790662     0.012981036     0.063392675
       5382.9348     0.013289996    -0.010026298     0.013250495     0.096862997
       5383.6530     0.011671633   -0.0058568304     0.013510607     0.063283946
       5384.3714   -0.0037504984   0.00075636920     0.013628145     0.037726322
       5385.0898    -0.022303241     0.010216660     0.013461387     0.093321579
       5385.8083    -0.024457079     0.014381761     0.013405505     0.080481311
       5386.5269   -0.0014123131     0.015803365     0.013541506     0.051147314
       5387.2456    0.0079537022     0.014343038     0.013390756     0.045987315
       5387.9644    0.0032783331     0.010546760     0.013137947     0.051018634
       5388.6833    -0.028314649     0.021082787     0.012948538      0.15163221
       5389.4023    -0.047605476     0.016891345     0.012929285      0.18925722
       5390.1213    -0.018688225     0.021227960     0.013140910      0.11777753
       5390.8405    0.0045712819     0.010999458     0.013371074     0.068030651
       5391.5598    0.0050129056   -0.0010207799     0.013553644     0.049301981
       5392.2792    0.0098587604   0.00021664680     0.013751880     0.023722820
       5392.9986     0.017807594    0.0048815821     0.013825552     0.057938052
       5393.7182     0.018545248    0.0032561967     0.013693347     0.072955460
       5394.4379    -0.025356039    -0.015163869     0.013451381     0.066398769
       5395.1576    -0.097194296     0.019919165     0.013234460      0.27815073
       5395.8775    -0.065335728     0.017718414     0.013467183      0.20403882
       5396.5974     0.013178801     0.013702674     0.013900376     0.048355193
       5397.3175     0.018530878    0.0043515566     0.014185893     0.055168583
       5398.0376     0.017889305     0.010537959     0.014075741     0.043942832
       5398.7578     0.036862545    0.0099820726     0.013480228     0.063200302
       5399.4782     0.041235320     0.010706277     0.013073831     0.054110056
       5400.1986     0.016452239     0.014329763     0.012847919     0.015625104
       5400.9191    -0.024028627    0.0070362696     0.012482541     0.083600903
       5401.6398    -0.025426570     0.019033482     0.012437813      0.10128924
       5402.3605     0.054324577     0.024261593     0.013219122     0.092027746
       5403.0813     0.086447324     0.021029744     0.013893330      0.17644108
       5403.8022     0.044584705     0.021655512     0.013935752     0.077665966
       5404.5232     0.024763631     0.015323531     0.013682393     0.032047894
       5405.2443     0.012834533     0.024031498     0.013279462     0.033085345
       5405.9655    0.0094599349     0.011313235     0.013063393     0.019922049
       5406.6868     0.022924507     0.028185667     0.013015941     0.021411160
       5407.4082     0.026119933     0.035790708     0.013092363     0.033268143
       5408.1297     0.022195268    0.0070507134     0.013372589     0.029022987
       5408.8513     0.028950292     0.022840470     0.013848328     0.057708745
       5409.5729     0.077911584     0.030230448     0.014272207      0.15535681
       5410.2947      0.11509746     0.046758254     0.014422999      0.21233752
       5411.0166     0.020150153     0.022959018     0.013970669     0.043366613
       5411.7386    -0.052605642    0.0010267552     0.013506177      0.15741908
       5412.4606    0.0058836917   -0.0040503416     0.013474982     0.069900424
       5413.1828     0.059427573   -0.0023981995     0.013731663      0.18159346
       5413.9050     0.058020549     0.019745885     0.013984080      0.14489968
       5414.6274     0.016531819     0.012592001     0.013892199     0.050395633
       5415.3498    -0.016568135   -0.0059272326     0.013672961     0.048526370
       5416.0724     0.016258721     0.022259099     0.013464745     0.031594955
       5416.7950     0.070372917     0.032341398     0.013577279      0.10918032
       5417.5178     0.098071812     0.031970881     0.013995970      0.16446577
       5418.2406     0.060507845     0.024955632     0.014251474      0.10585875
       5418.9635  -0.00080087180    0.0061769213     0.014331062     0.026664688
       5419.6866    -0.014410621    -0.014229995     0.014175524     0.053408777
       5420.4097    -0.011537732    -0.011237819     0.014081022     0.037430758
       5421.1329   -0.0072264411    0.0047821911     0.014130459     0.044893363
       5421.8562     0.015070165     0.012974168     0.014060895     0.048195955
       5422.5796     0.033310873     0.047000257     0.013894510     0.046918001
       5423.3032     0.055023529     0.057704390     0.013903655      0.10205654
       5424.0268     0.073137889     0.046070155     0.014070432      0.11570896
       5424.7505     0.033628802     0.024338351     0.013974817     0.020459834
       5425.4743  -0.00099743124     0.016747489     0.013749132     0.084007255
       5426.1982   -0.0038226222     0.012029735     0.013487513     0.092938616
       5426.9222     0.022152891     0.014011797     0.013601890     0.033533378
       5427.6463     0.077702443     0.027014374     0.014067777      0.14092233
       5428.3704      0.11633751     0.032763313     0.014298893      0.23709986
       5429.0947      0.12265641     0.037963619     0.014350634      0.28412200
       5429.8191     0.090697421     0.016447318     0.014279264      0.26856539
       5430.5436     0.066129188   -0.0024122668     0.014524780      0.21552686
       5431.2682     0.066928213    0.0057174115     0.015305470      0.15419047
       5431.9928     0.059976516    0.0028677379     0.015611049      0.12845570
       5432.7176     0.042619454  -0.00030530745     0.015248519      0.11602478
       5433.4425     0.018182968     0.019157822     0.014494082     0.038204409
       5434.1674     0.020731268    0.0078635542     0.013947204     0.039705719
       5434.8925     0.043801210     0.036562265     0.013727972     0.042369395
       5435.6176     0.036046356    0.0076193093     0.013766040     0.058793080
       5436.3429     0.017721482    0.0032285412     0.014095513     0.050870870
       5437.0682    0.0050095142   -0.0021706008     0.014002484     0.046376085
       5437.7937    -0.010697956   -0.0010872133     0.013740968     0.073725734
       5438.5192    -0.019314654    0.0022937286     0.013880219     0.065916646
       5439.2448    -0.015515926    0.0054682429     0.013910590     0.044383681
       5439.9706   0.00078836015     0.012370236     0.013658516     0.032058983
