# L6 template spectrum
# 8 total spectra
# resolution  = 60 km/s per pixel
# 5350 to 8900 Angstroms
#    wavelength       mean_flux       median_flux        uncertainty      spread
       5350.0000    -0.025205445    -0.020784286     0.039196973     0.051928150
       5351.0707    -0.039115638    -0.034790459     0.039214508     0.062150625
       5352.1417    -0.017093249   -0.0064911696     0.039262333     0.078441774
       5353.2129    0.0055811858    0.0065963811     0.039272040      0.10113921
       5354.2842   -0.0035900442    0.0038529264     0.039295737     0.091099670
       5355.3558   -0.0034111921     0.012921296     0.039368027     0.072609470
       5356.4277   -0.0086203220    -0.012073796     0.039361630     0.075887201
       5357.4997   -0.0011766283  -0.00028607160     0.039322988      0.10338062
       5358.5719   -0.0027140177     0.013784170     0.039186153      0.13079147
       5359.6444   -0.0058805255    0.0067208375     0.038878478      0.13754810
       5360.7171   -0.0041453545    -0.018352742     0.038493705      0.11665292
       5361.7899   -0.0019659882     0.011794872     0.038267813     0.085977491
       5362.8630    -0.014722822     0.010202494     0.038090225     0.063741631
       5363.9364    -0.042910005    -0.047428777     0.037886729     0.075470827
       5365.0099    -0.019002819   -0.0034845623     0.037753148     0.068081658
       5366.0836     0.013843312     0.037471818     0.037641509     0.070555982
       5367.1576     0.053083362     0.063588393     0.037499488     0.069589944
       5368.2318     0.078895098     0.059516186     0.037387585     0.094084619
       5369.3062     0.093160488     0.074173469     0.037438406      0.12707444
       5370.3808      0.10463221     0.031992599     0.037642207      0.15529397
       5371.4556      0.13101334     0.069732330     0.037880174      0.17536649
       5372.5306      0.12816408     0.024249742     0.038076240      0.20714569
       5373.6059      0.13617027     0.023047067     0.038188467      0.25217925
       5374.6813      0.16545495     0.077491231     0.038439193      0.25595224
       5375.7570      0.16513887      0.12430914     0.038542195      0.17573570
       5376.8329      0.11324502     0.099351670     0.038316683      0.10184493
       5377.9090     0.079432157     0.074739471     0.038135112     0.081260016
       5378.9853     0.083589230     0.071877742     0.037913243      0.10862573
       5380.0619     0.063798102     0.051652069     0.037661464      0.13261386
       5381.1386     0.053322348     0.019425563     0.037497713      0.10852747
       5382.2156     0.059236382     0.023555746     0.037469183     0.092512114
       5383.2928     0.037988698    0.0051631196     0.037420703     0.081851068
       5384.3702     0.012210728     0.012519377     0.037316572     0.040094775
       5385.4478     0.027567123     0.045849470     0.037217498     0.082946397
       5386.5257     0.070559097     0.063479118     0.037203212      0.13471540
       5387.6037     0.065129846    0.0096497575     0.037190512      0.16100908
       5388.6820     0.049714502     0.011624191     0.037179224      0.16903316
       5389.7605     0.013632470    -0.016508858     0.037140924      0.14191082
       5390.8392    -0.021222780    -0.030247740     0.037098947      0.10316318
       5391.9181    -0.013107962    -0.040081288     0.037011518     0.057870590
       5392.9972   -0.0011068056    0.0012510763     0.036948448     0.043642710
